iter	Logloss
126	0.2709978183
127	0.2697001267
128	0.2682345799
129	0.2671534588
130	0.2659266735
131	0.2652899962
132	0.2644325527
133	0.2637856859
134	0.262835694
135	0.2621080082
136	0.2610921825
137	0.260116798
138	0.259055398
139	0.2578900275
140	0.2571423127
141	0.2561596182
142	0.2553255492
143	0.2544672224
144	0.2536191163
145	0.2529134466
146	0.2517490025
147	0.25065827
148	0.2496957471
149	0.2490266744
150	0.2484429818
151	0.247841143
152	0.2469154084
153	0.245952847
154	0.2454169841
155	0.2447379874
156	0.2440338279
157	0.2435017639
158	0.2428432898
159	0.241844211
160	0.2411727872
161	0.2399957919
162	0.2388139696
163	0.2377003079
164	0.2372579811
165	0.2361924427
166	0.2357190008
167	0.2345816426
168	0.23402145
169	0.2332106578
170	0.2323598526
171	0.2313047378
172	0.2309332681
173	0.2305574347
174	0.2299636936
175	0.2293702033
176	0.2288331006
177	0.2282953568
178	0.2271562062
179	0.2265763234
180	0.225787032
181	0.2251482591
182	0.2243176973
183	0.2236485321
184	0.2232686847
185	0.2225268552
186	0.2216739787
187	0.2208967011
188	0.2200165863
189	0.21931511
190	0.2189191271
191	0.2184647005
192	0.2176981241
193	0.2174472947
194	0.2170806017
195	0.2167720861
196	0.215907287
197	0.2155898575
198	0.2151099506
199	0.2144253847
200	0.2136326508
201	0.2131780054
202	0.2127424629
203	0.2122924683
204	0.211665541
205	0.2110663018
206	0.2104536112
207	0.2096695614
208	0.2091261434
209	0.2084705871
210	0.2078467852
211	0.2072145883
212	0.2064853288
213	0.2058521615
214	0.2055361747
215	0.2051989499
216	0.2046547728
217	0.203942913
218	0.2034135648
219	0.2025667027
220	0.2019019361
221	0.2012110605
222	0.2003310907
223	0.1998592658
224	0.1995933374
225	0.1989205514
226	0.1982785522
227	0.1977440776
228	0.1972745497
229	0.1970400452
230	0.1965464361
231	0.1958703582
232	0.1950876117
233	0.1946699108
234	0.1941257562
235	0.1934880601
236	0.1928843219
237	0.1922708227
238	0.1919168034
239	0.1913108369
240	0.1909711972
241	0.1903322159
242	0.1900829342
243	0.1896770375
244	0.1890705912
245	0.1885171584
246	0.1876350552
247	0.1871591955
248	0.1867168217
249	0.1864512374
250	0.1861926533
251	0.1858182281
252	0.1853915115
253	0.1848349961
254	0.1837862429
255	0.183366803
256	0.1830163219
257	0.1824609228
258	0.1821329813
259	0.1818637973
260	0.1811714512
261	0.18086949
262	0.1804584228
263	0.1797981964
264	0.1794844373
265	0.1788921118
266	0.1785815888
267	0.1781843234
268	0.1781496883
269	0.1775669543
270	0.1769058751
271	0.1764950256
272	0.1760176792
273	0.175597976
274	0.1753191939
275	0.1751244047
276	0.1746392489
277	0.1738943979
278	0.1734510743
279	0.1731156365
280	0.1728063508
281	0.1723378961
282	0.1719136887
283	0.1714315523
284	0.1709877779
285	0.1704532471
286	0.1699997875
287	0.1693433257
288	0.1690662184
289	0.1686075163
290	0.1683617754
291	0.1678868734
292	0.1676138217
293	0.1673189599
294	0.166990978
295	0.1666279568
296	0.166306438
297	0.1658446101
298	0.1653322309
299	0.1649076142
300	0.1645812352
301	0.1641516481
302	0.1638144495
303	0.1632983989
304	0.1630104552
305	0.1626082559
306	0.1621309922
307	0.1616321506
308	0.1612231219
309	0.1608083282
310	0.1605181168
311	0.1602912842
312	0.1600184954
313	0.1597570897
314	0.1589624952
315	0.158217068
316	0.1578918907
317	0.1577414725
318	0.1574196478
319	0.1569922842
320	0.1565830917
321	0.1558662366
322	0.1555361962
323	0.1552942746
324	0.1550803715
325	0.1547968066
326	0.1543901557
327	0.1541644954
328	0.1536093774
329	0.1530604329
330	0.1527890517
331	0.1524264895
332	0.1521048495
333	0.1519608424
334	0.1515862647
335	0.1512468631
336	0.1507233817
337	0.1503744188
338	0.1498405349
339	0.1494762271
340	0.1490235716
341	0.1487847154
342	0.1482713032
343	0.1479516943
344	0.1475514471
345	0.1468924606
346	0.1465127404
347	0.1462095677
348	0.1461110982
349	0.1459074866
350	0.1456545472
351	0.1452201893
352	0.1446370926
353	0.1441923429
354	0.1440243374
355	0.1437088177
356	0.1432616329
357	0.1428444774
358	0.1425212693
359	0.142268269
360	0.1419017175
361	0.1415797546
362	0.1413252073
363	0.1404939593
364	0.1402186004
365	0.1397482901
366	0.1391782055
367	0.138973347
368	0.1387327404
369	0.1385002365
370	0.1383373347
371	0.1381434835
372	0.1380692342
373	0.1377064831
374	0.1372855388
375	0.1371998453
376	0.1369150874
377	0.1366654172
378	0.1362116556
379	0.1358654284
380	0.1354642213
381	0.1351380437
382	0.1348920223
383	0.1344938239
384	0.1342093567
385	0.1340378747
386	0.1338430848
387	0.1336511245
388	0.1334603181
389	0.1331522895
390	0.1327332637
391	0.1325614697
392	0.1322293729
393	0.1320388385
394	0.1317847356
395	0.1312527463
396	0.1310444271
397	0.1307440605
398	0.13050693
399	0.1301382852
400	0.1298022394
401	0.1293392401
402	0.1291823711
403	0.128844108
404	0.128371189
405	0.1281420659
406	0.127920696
407	0.1277410247
408	0.1275523925
409	0.1273619169
410	0.1267567737
411	0.1264394181
412	0.1262509831
413	0.1257836237
414	0.1255670118
415	0.125283857
416	0.1250068439
417	0.1248945666
418	0.1247607129
419	0.1244829448
420	0.1242328403
421	0.1239685997
422	0.1237311
423	0.1233600577
424	0.1232221654
425	0.122969825
426	0.1226215165
427	0.1224762266
428	0.1222012766
429	0.1220439015
430	0.1215846223
431	0.1212649948
432	0.1210626749
433	0.1208544007
434	0.1205477498
435	0.1201884086
436	0.1199732417
437	0.1195725384
438	0.1193119432
439	0.119045606
440	0.1187286437
441	0.1184187112
442	0.118019862
443	0.1178667911
444	0.1175746159
445	0.1173286421
446	0.1171588683
447	0.1168945995
448	0.116708691
449	0.1164012393
450	0.1162594446
451	0.1161217406
452	0.1158578446
453	0.1155932774
454	0.1153633521
455	0.1150607889
456	0.1148403432
457	0.1146549277
458	0.1144050808
459	0.1142365825
460	0.114069259
461	0.1136220112
462	0.1134157742
463	0.1131779842
464	0.1130165754
465	0.1127900382
466	0.11261663
467	0.1124765316
468	0.1122113179
469	0.1119282235
470	0.1116063454
471	0.1114215957
472	0.1113030452
473	0.1110153726
474	0.1107848099
475	0.1104610561
476	0.110285867
477	0.1101579139
478	0.1097777066
479	0.1095358405
480	0.1092381135
481	0.1090241053
482	0.1088637207
483	0.1086432308
484	0.1084856416
485	0.1083923721
486	0.1082254348
487	0.1080773251
488	0.1079600761
489	0.1077548013
490	0.1075640442
491	0.1073771113
492	0.1072225359
493	0.1071098746
494	0.1070243509
495	0.1067529288
496	0.1065485884
497	0.1063369384
498	0.1060990078
499	0.1059522267
