iter	Logloss
0	0.6794307862
1	0.665527543
2	0.6510968278
3	0.636069997
4	0.6262988583
5	0.6169677486
6	0.6066956863
7	0.5942736515
8	0.5854142444
9	0.5767022655
10	0.567455775
11	0.5598051995
12	0.5534463871
13	0.5465255563
14	0.5384348956
15	0.5320625527
16	0.5251659844
17	0.5191444117
18	0.5127907469
19	0.5063871937
20	0.5013697577
21	0.4943906702
22	0.4893012666
23	0.4839707452
24	0.4785946428
25	0.473325848
26	0.4687005254
27	0.4642557059
28	0.4594990813
29	0.4557530768
30	0.4509919476
31	0.446398221
32	0.4418248159
33	0.4380312698
34	0.433466002
35	0.4297283915
36	0.4256351721
37	0.4221834628
38	0.4189810462
39	0.4152829218
40	0.4121866188
41	0.4087893873
42	0.4061791552
43	0.4044306642
44	0.4014322166
45	0.3988847986
46	0.3959885906
47	0.3938586954
48	0.3914399368
49	0.3891822953
50	0.3860974147
51	0.3840882821
52	0.3822386141
53	0.3800234073
54	0.37769265
55	0.3752270307
56	0.3730362252
57	0.3710923869
58	0.3688190007
59	0.3667469597
60	0.3643083894
61	0.3626993617
62	0.3603411709
63	0.3586740527
64	0.3566766319
65	0.354583849
66	0.3530931161
67	0.3511692463
68	0.3490819183
69	0.3475666289
70	0.3456447265
71	0.3443462261
72	0.3428169592
73	0.3406166205
74	0.339157245
75	0.3369742582
76	0.335099577
77	0.3347498883
78	0.3330743718
79	0.3316746779
80	0.3302632258
81	0.3289641414
82	0.3267979376
83	0.3253084958
84	0.3233947694
85	0.3219719
86	0.3201824196
87	0.3189059849
88	0.3173336821
89	0.3158096793
90	0.3141412707
91	0.3127988168
92	0.3114769349
93	0.310293811
94	0.3081932353
95	0.3062603148
96	0.3052446252
97	0.3033861754
98	0.3022511614
99	0.3003788339
100	0.2989667573
101	0.2974641466
102	0.2961196228
103	0.2948055252
104	0.2938989999
105	0.2925426453
106	0.291528158
107	0.2907385099
108	0.2901162084
109	0.2890133952
110	0.2874922595
111	0.2863970007
112	0.2853882574
113	0.2845564355
114	0.2831409659
115	0.2826174892
116	0.2814127827
117	0.2805375738
118	0.2797191692
119	0.2787200721
120	0.2778405696
121	0.2761520821
122	0.2755129297
123	0.2741609456
124	0.2730801691
125	0.2723071412
